# Jawwid Chat environment-variable manifest. Owner: AI #7 (infrastructure).
#
# The single machine-readable source of truth for configuration. Consumed by
# scripts/infra/check-env.sh, which CI and every deployment run.
#
# Columns (tab-separated):
#   NAME     variable name
#   GROUP    documentation grouping
#   SECRET   yes = must come from the secret store, never from a tracked file
#   LOCAL    req | opt | forbid   -- state required in local development
#   STAGING  req | opt | forbid
#   PROD     req | opt | forbid   -- forbid = deployment is refused if present
#
# `forbid` is not decoration. DEBUG-style switches are forbidden in production
# so that "temporarily enable it to debug prod" is a deliberate change to this
# file and its review, not a console edit nobody sees.
#
# WHOSE ENVIRONMENT THIS DESCRIBES: the API process. check-env.sh is invoked
# for it and for nothing else (.github/workflows/deploy-*.yml). That is why the
# two privileged database URLs below are FORBIDDEN rather than required --
#
#   DATABASE_URL            the API's own connection: `chat_app`, which owns
#                           nothing and cannot bypass RLS.
#   DATABASE_SERVICE_URL    `chat_service`, which BYPASSES RLS. It belongs to
#                           the worker's environment. An API process holding it
#                           has both authorization layers available to any bug
#                           that picks the wrong client (RLS-STRATEGY.md 6).
#   DATABASE_MIGRATION_URL  the owner/DDL credential. It belongs to CI, for the
#                           length of one migration step, and nowhere else.
#
# The worker's environment is not validated by anything today. That gap is
# named in docs/recovery/PHASE-1-REPORT.md 11.
#
#NAME	GROUP	SECRET	LOCAL	STAGING	PROD
# Phase 7 -- the AI assistant. Every one of these is OPTIONAL in every
# environment, including production, and that is the design rather than an
# oversight: with no key the provider seam resolves to DisabledAiProvider and
# the product behaves exactly as it did before Phase 7 (Phase 7 SS28). Marking
# the key `req` in prod would make a deployment without the assistant a failed
# deployment, which inverts the relationship -- AI is an enhancement to the
# communication engine, not a dependency of it.
#
# The kill switch is NOT here. `ai.enabled` lives in chat.config so it can be
# turned off at 2am without a deployment; an environment variable would need
# one.
ANTHROPIC_API_KEY	ai	yes	opt	opt	opt
AI_MODEL	ai	no	opt	opt	opt
AI_TIMEOUT_MS	ai	no	opt	opt	opt
AI_MAX_RETRIES	ai	no	opt	opt	opt
AI_MAX_INPUT_CHARS	ai	no	opt	opt	opt
AI_MAX_OUTPUT_TOKENS	ai	no	opt	opt	opt
CORE_BASE_URL	core	no	req	req	req
CORE_API_KEY	core	yes	opt	req	req
CORE_WEBHOOK_SECRET	core	yes	opt	req	req
CORE_TIMEOUT_MS	core	no	opt	req	req
CORE_RETRY_MAX	core	no	opt	req	req
SENTRY_DSN	observability	yes	opt	req	req
# OTEL_* are `opt` EVERYWHERE, and that is a correction rather than a relaxation.
# They were `req` in staging and production while NO CODE READ THEM -- there is
# no OpenTelemetry SDK in apps/api/package.json and no `OTEL_` reference in
# src/. A deployment was therefore refused unless an operator supplied an
# endpoint that nothing would ever export to, which teaches people that this
# file's requirements are decorative -- the opposite of what `forbid` above is
# for. SENTRY_DSN stays `req`: it IS consumed now (infra/observability/
# sentry-error-tracker.ts).
#
# Flip these back to `req` in the same commit that wires an OTLP exporter, not
# before. Tracked as B-4 in docs/recovery/PHASE-8-CLOSURE.md.
OTEL_SERVICE_NAME	observability	no	opt	opt	opt
OTEL_EXPORTER_OTLP_ENDPOINT	observability	no	opt	opt	opt
OTEL_TRACES_SAMPLER_ARG	observability	no	opt	opt	opt
HEALTH_PROBE_TIMEOUT_MS	observability	no	opt	opt	opt
GIT_COMMIT	release	no	opt	req	req
BUILD_VERSION	release	no	opt	req	req
BUILD_TIME	release	no	opt	req	req
PRISMA_MIGRATE_SKIP_GENERATE	guardrail	no	opt	opt	opt
DEBUG	guardrail	no	opt	forbid	forbid
PRISMA_STUDIO	guardrail	no	opt	forbid	forbid
USE_MOCK_PUSH	guardrail	no	opt	forbid	forbid
USE_MOCK_CORE	guardrail	no	opt	forbid	forbid
ALLOW_INSECURE_TLS	guardrail	no	forbid	forbid	forbid
